9,1,10,2,11,5,8,3,6
9,5,4,8,2,3,1,13,6
9,7,1,8,13,2,12,5,6
-1
11,2,10,7,6,1,8,13,5
11,8,12,2,7,4,10,1,5
11,2,6,9,10,1,4,13,5
-1
9,4,1,10,8,6,3,7,2
9,7,8,6,4,11,1,5,2
9,6,4,5,10,8,1,12,2
-1
4,12,2,5,9,8,6,10,1
4,10,5,7,13,6,8,9,1
4,9,8,11,6,5,10,7,1
-1
9,1,5,8,4,2,10,13,12
9,5,10,8,1,11,4,6,12
9,11,6,8,1,7,10,5,12
-1
8,1,12,7,5,6,11,13,7
8,1,12,11,6,2,10,4,7
8,10,4,6,1,12,9,5,7
-1
2,7,11,8,5,6,1,13,4
2,12,1,6,13,5,11,8,4
2,6,3,7,11,5,10,1,4
-1
1,8,6,10,12,5,4,9,13
1,2,4,8,7,11,10,12,13
1,3,6,5,12,7,10,4,13
-1
11,5,8,4,2,6,12,13,9
11,4,5,6,8,2,10,1,9
11,4,10,5,8,7,2,1,9
-1
6,5,10,13,1,8,11,2,4
6,1,8,5,11,2,12,13,4
6,5,8,2,11,1,7,13,4
-1
5,9,8,4,2,3,13,1,6
5,10,7,2,11,4,8,3,6
5,1,13,8,12,2,3,11,6
-1
6,4,1,12,10,2,7,8,11
6,1,7,5,12,2,8,13,11
6,10,2,3,4,12,5,7,11
-1
10,8,9,7,6,1,11,4,2
10,1,4,11,5,7,8,6,2
10,1,11,8,3,4,6,12,2
-1
13,12,6,7,1,2,5,11,8
13,1,6,5,11,2,10,4,8
13,10,9,5,4,2,6,7,8
-1
10,7,6,12,4,1,11,13,8
10,1,5,7,4,2,6,3,8
10,9,1,2,13,11,7,4,8
-1
3,1,8,5,2,9,11,4,10
3,6,9,7,5,1,2,8,10
3,2,4,8,1,5,9,12,10
-1
5,7,2,9,8,6,4,1,10
5,1,6,8,4,2,13,9,10
5,11,13,12,1,2,4,6,10
-1
12,1,7,11,6,2,10,4,5
12,1,6,8,4,2,10,13,5
12,1,10,7,9,2,6,13,5
-1
8,6,11,7,4,1,5,13,2
8,1,9,7,6,12,11,13,2
8,1,11,4,10,5,6,12,2
-1
6,7,11,13,4,2,1,8,12
6,1,8,2,5,10,7,11,12
6,8,2,7,10,5,9,11,12
-1
2,4,1,9,12,5,8,3,6
2,11,4,8,7,1,7,3,6
2,13,5,7,4,10,9,1,6
-1
12,1,9,5,8,2,6,7,4
12,8,9,11,1,2,7,5,4
12,1,3,13,7,8,10,5,4
-1
3,2,6,4,10,1,7,8,13
3,10,5,6,4,2,1,11,13
3,6,4,9,10,5,8,12,13
-1
1,11,13,2,4,7,10,5,12
1,8,13,9,6,7,4,11,12
1,7,11,10,5,3,8,4,12
-1
11,5,12,1,9,7,8,13,10
11,2,6,7,12,9,1,8,10
11,5,2,4,8,12,1,13,10
-1
6,10,4,8,2,5,7,13,1
6,12,5,9,7,8,2,13,1
6,12,7,4,8,11,5,9,1
-1
2,9,13,7,5,4,1,8,10
2,5,1,4,9,13,6,8,10
2,5,13,9,8,1,7,12,10
-1
7,7,12,3,10,4,5,8,13
7,5,1,8,10,6,7,12,13
7,2,11,8,3,9,1,6,13
-1
