9,8,1,12,6
9,1,5,4,6
9,1,8,2,6
-1
11,9,1,8,5
11,8,6,10,5
11,1,8,2,5
-1
9,5,1,8,2
9,11,4,8,2
9,6,1,12,2
-1
4,6,8,5,1
4,2,13,5,1
4,6,10,5,1
-1
9,8,7,1,12
9,2,1,6,12
9,2,4,7,12
-1
8,1,6,5,7
8,4,6,10,7
8,2,6,12,7
-1
2,1,6,13,4
2,1,6,8,4
2,1,6,5,4
-1
1,8,4,5,13
1,2,5,2,13
1,4,5,6,13
-1
11,1,6,8,9
11,8,5,1,9
11,1,10,2,9
-1
6,1,2,5,4
6,8,1,13,4
6,1,12,8,4
-1
5,8,1,4,6
5,4,8,2,6
5,2,1,10,6
-1
6,1,8,12,11
6,4,2,7,11
6,5,1,10,11
-1
10,8,6,1,2
10,11,5,2,2
10,12,4,6,2
-1
13,5,6,4,8
13,6,2,1,8
13,6,5,12,8
-1
10,7,1,2,8
10,1,2,5,8
10,2,4,1,8
-1
3,1,4,5,10
3,13,6,5,10
3,9,1,8,10
-1
5,4,1,8,10
5,6,1,9,10
5,2,4,13,10
-1
12,6,4,10,5
12,4,6,8,5
12,2,1,4,5
-1
8,6,2,1,2
8,3,6,4,2
8,6,1,5,2
-1
6,1,10,9,12
6,8,4,11,12
6,2,5,10,12
-1
2,10,5,1,6
2,12,4,5,6
2,8,2,4,6
-1
12,13,8,5,4
12,6,2,1,4
12,5,6,7,4
-1
3,4,10,5,13
3,4,1,8,13
3,10,1,6,13
-1
1,2,6,5,12
1,10,8,2,12
1,11,9,8,12
-1
11,6,5,2,10
11,5,13,8,10
11,9,2,1,10
-1
6,2,8,4,1
6,2,10,13,1
6,12,7,5,1
-1
2,1,5,6,10
2,1,8,5,10
2,1,4,5,10
-1
7,5,1,8,13
7,9,8,6,13
7,4,10,12,13
-1
