17,9,29,1,8
17,19,11,23,8
17,4,2,24,8
-1
8,28,17,29,9
8,19,29,17,9
8,19,18,15,9
-1
8,9,29,1,4
8,23,10,11,4
8,10,2,9,4
-1
8,9,29,1,17
8,3,29,9,17
8,15,18,16,17
-1
17,3,29,1,9
17,8,19,23,9
17,29,3,28,9
-1
4,11,10,2,24
4,9,29,17,24
4,2,11,23,24
-1
23,10,11,4,3
23,18,15,19,3
23,17,9,29,3
-1
23,10,11,19,4
23,10,2,9,4
23,11,2,24,4
-1
15,28,17,29,9
15,8,1,29,9
15,8,19,29,9
-1
10,11,4,2,28
10,9,29,17,28
10,3,17,29,28
-1
16,19,15,18,8
16,9,29,1,8
16,17,29,1,8
-1
18,29,15,8,19
18,9,29,1,19
18,15,16,28,19
-1
4,17,9,29,1
4,11,10,2,1
4,2,24,9,1
-1
28,17,29,9,16
28,11,19,8,16
28,19,18,15,16
-1
29,1,18,15,16
29,9,17,28,16
29,8,15,1,16
-1
17,1,3,9,29
17,15,18,16,29
17,8,15,1,29
-1
19,28,17,29,9
19,17,29,1,9
19,8,15,1,9
-1
9,2,4,11,23
9,29,17,28,23
9,28,19,8,23
-1
1,29,9,3,19
1,9,29,8,19
1,15,18,16,19
-1
9,29,17,28,10
9,4,11,23,10
9,29,8,19,10
-1
24,23,19,8,15
24,16,19,23,15
24,4,11,10,15
-1
29,1,9,17,4
29,19,11,2,4
29,9,19,8,4
-1
4,11,10,2,19
4,9,29,8,19
4,24,9,29,19
-1
23,2,4,11,10
23,8,19,11,10
23,9,1,29,10
-1
18,19,8,15,16
18,9,29,1,16
18,29,9,17,16
-1
17,28,9,29,3
17,9,1,29,3
17,8,15,1,3
-1
13,9,29,8,19
13,18,15,16,19
13,3,17,9,19
-1
11,9,29,8,19
11,2,4,10,19
11,29,15,8,19
-1
1,29,9,3,7
1,29,8,19,7
1,29,9,17,7
-1
12,9,29,1,13
12,29,9,17,13
12,9,28,3,13
-1
12,3,19,15,18
12,9,29,1,18
12,14,22,16,18
-1
29,2,4,11,10
29,9,17,28,10
29,15,8,19,10
-1
15,29,3,9,17
15,29,9,1,17
15,16,8,9,17
-1
17,24,2,4,11
17,3,9,29,11
17,24,10,23,11
-1
16,1,9,2,10
16,11,9,29,10
16,19,23,11,10
-1
22,9,29,17,12
22,18,27,14,12
22,9,29,16,12
-1
8,16,29,9,15
8,16,22,18,15
8,19,9,29,15
-1
8,15,19,10,11
8,4,2,24,11
8,23,10,24,11
-1
11,10,2,9,4
11,2,24,10,4
11,23,19,8,4
-1
22,16,14,18,15
22,9,29,17,15
22,8,16,17,15
-1
9,29,8,19,20
9,19,8,15,20
9,17,29,1,20
-1
15,8,16,17,28
15,9,29,17,28
15,9,3,17,28
-1
15,9,17,1,29
15,16,8,9,29
15,3,9,1,29
-1
9,29,3,28,17
9,1,29,3,17
9,19,8,15,17
-1
4,11,10,2,3
4,2,24,10,3
4,17,9,29,3
-1
24,17,9,29,1
24,9,4,2,1
24,4,7,9,1
-1
23,17,9,29,1
23,10,19,8,1
23,4,24,9,1
-1
16,9,29,17,4
16,8,9,29,4
16,10,11,2,4
-1
19,28,17,9,29
19,17,9,3,29
19,8,15,1,29
-1
1,9,3,17,29
1,16,15,19,29
1,16,15,18,29
-1
9,4,11,19,8
9,17,29,1,8
9,16,18,15,8
-1
7,13,3,29,9
7,4,2,24,9
7,3,17,4,9
-1
19,4,11,23,2
19,10,11,23,2
19,23,4,24,2
-1
