17,9,1,29,3,13,8
17,2,4,11,19,10,8
17,2,4,11,23,10,8
-1
8,23,19,28,17,29,9
8,15,16,29,17,3,9
8,19,28,17,29,1,9
-1
8,15,9,29,17,28,4
8,19,23,10,11,24,4
8,10,23,19,11,2,4
-1
8,16,3,1,29,9,17
8,19,9,29,1,16,17
8,15,18,22,14,16,17
-1
17,4,7,3,29,1,9
17,23,19,8,15,1,9
17,19,28,3,29,1,9
-1
4,11,10,2,9,1,24
4,2,11,23,10,16,24
4,23,2,11,10,7,24
-1
23,11,10,2,4,24,3
23,10,19,8,15,1,3
23,19,28,17,9,29,3
-1
23,10,11,19,8,16,4
23,10,2,9,1,8,4
23,2,24,9,29,17,4
-1
15,29,1,12,22,14,9
15,11,8,19,29,17,9
15,16,29,17,3,13,9
-1
10,11,4,2,9,29,28
10,1,29,3,9,17,28
10,19,8,15,1,9,28
-1
16,19,15,18,12,9,8
16,29,17,4,2,24,8
16,17,9,3,1,29,8
-1
18,22,15,8,16,17,19
18,15,28,17,9,29,19
18,1,29,9,3,17,19
-1
4,28,17,29,9,14,1
4,2,24,10,11,19,1
4,28,17,9,29,3,1
-1
28,17,29,9,1,12,16
28,19,8,15,18,12,16
28,17,9,29,3,13,16
-1
29,19,23,11,3,1,16
29,9,1,18,15,8,16
29,17,9,1,12,18,16
-1
17,11,8,1,3,9,29
17,11,8,15,18,16,29
17,28,13,14,18,15,29
-1
19,4,23,28,17,29,9
19,23,28,17,29,1,9
19,8,15,1,3,4,9
-1
9,24,2,4,10,11,23
9,17,29,1,18,15,23
9,1,29,15,19,8,23
-1
1,29,9,3,17,23,19
1,3,16,18,15,8,19
1,28,9,29,17,4,19
-1
9,29,1,18,15,8,10
9,4,11,23,8,16,10
9,29,8,19,23,11,10
-1
24,4,11,23,19,8,15
24,12,14,22,18,16,15
24,3,17,28,23,11,15
-1
29,22,15,1,9,17,4
29,19,23,11,10,2,4
29,8,19,9,17,3,4
-1
4,11,10,2,24,3,19
4,28,17,9,29,8,19
4,1,29,9,3,17,19
-1
23,7,24,2,4,11,10
23,8,19,11,4,2,10
23,1,9,29,17,28,10
-1
18,2,11,19,8,15,16
18,29,1,12,14,22,16
18,15,29,3,9,17,16
-1
17,15,19,28,9,29,3
17,9,1,29,8,11,3
17,11,2,4,29,1,3
-1
13,28,17,9,29,8,19
13,28,18,15,16,3,19
13,1,29,9,3,17,19
-1
11,28,17,9,29,8,19
11,1,29,2,4,10,19
11,22,15,8,16,17,19
-1
1,29,9,3,17,19,7
1,23,11,10,24,16,7
1,10,23,4,2,24,7
-1
12,28,17,9,3,29,13
12,28,17,29,9,1,13
12,19,15,8,16,18,13
-1
12,29,9,3,19,15,18
12,28,17,9,29,1,18
12,14,22,16,15,8,18
-1
29,4,11,23,8,18,10
29,1,9,17,28,19,10
29,9,4,2,11,8,10
-1
15,8,1,29,3,9,17
15,16,29,1,9,2,17
15,18,9,29,3,4,17
-1
17,23,4,2,24,10,11
17,9,29,1,18,8,11
17,9,29,3,24,2,11
-1
16,28,17,29,9,1,10
16,7,24,2,4,11,10
16,23,19,8,18,12,10
-1
22,9,29,17,28,16,12
22,18,27,14,16,19,12
22,10,13,9,29,3,12
-1
8,12,14,22,18,16,15
8,19,28,17,29,9,15
8,3,29,9,17,28,15
-1
8,4,2,24,10,23,11
8,19,9,29,1,16,11
8,3,1,29,9,17,11
-1
11,10,2,9,29,1,4
11,24,9,29,17,23,4
11,19,29,17,3,9,4
-1
22,9,27,16,14,18,15
22,9,4,11,19,8,15
22,12,9,29,17,23,15
-1
9,29,8,19,23,11,20
9,3,12,16,18,15,20
9,17,29,1,18,8,20
-1
15,8,16,17,4,2,28
15,16,12,9,29,17,28
15,19,17,9,29,3,28
-1
15,19,28,17,9,1,29
15,19,18,16,8,9,29
15,19,28,17,9,3,29
-1
9,29,3,28,19,8,17
9,1,29,3,28,19,17
9,4,11,19,8,15,17
-1
4,11,10,2,24,9,3
4,17,9,29,1,12,3
4,8,19,9,29,1,3
-1
24,19,28,17,9,29,1
24,2,11,23,19,8,1
24,7,10,11,23,19,1
-1
23,19,28,17,29,9,1
23,11,10,19,8,15,1
23,4,24,2,9,29,1
-1
16,19,28,17,29,9,4
16,8,9,29,17,28,4
16,19,23,11,10,2,4
-1
19,18,15,28,17,9,29
19,18,15,9,17,3,29
19,8,15,1,9,17,29
-1
1,18,19,28,17,9,29
1,19,28,17,9,3,29
1,11,8,15,18,16,29
-1
9,29,2,4,11,19,8
9,16,15,19,23,11,8
9,17,29,1,18,16,8
-1
7,23,19,28,17,29,9
7,4,2,11,10,24,9
7,18,15,8,1,29,9
-1
19,3,1,29,9,4,2
19,10,11,23,4,24,2
19,8,15,1,9,29,2
-1
