userID,trajID,poiID,startTime,endTime,#photo,trajLen,poiDuration
93629101@N05,3651,3,6,6,1,13,1
93629101@N05,3651,4,6,6,2,13,1
93629101@N05,3651,1,6,6,3,13,1
93629101@N05,3651,5,6,6,4,13,1
93629101@N05,3651,10,6,6,5,13,1
93629101@N05,3651,8,6,6,6,13,1
93629101@N05,3651,2,6,6,7,13,1
93629101@N05,3651,13,6,6,8,13,1
93629101@N05,3651,6,6,6,9,13,1
93629101@N05,3651,12,6,6,10,13,1
93629101@N05,3651,7,6,6,11,13,1
93629101@N05,3651,9,6,6,12,13,1
93629101@N05,3651,11,6,6,13,13,1
96062950@N02,3703,13,6,6,14,5,1
96062950@N02,3703,2,6,6,15,5,1
96062950@N02,3703,8,6,6,16,5,1
96062950@N02,3703,6,6,6,17,5,1
96062950@N02,3703,5,6,6,18,5,1
45716980@N00,2026,13,6,6,19,9,1
45716980@N00,2026,8,6,6,20,9,1
45716980@N00,2026,2,6,6,21,9,1
45716980@N00,2026,6,6,6,22,9,1
45716980@N00,2026,4,6,6,23,9,1
45716980@N00,2026,1,6,6,24,9,1
45716980@N00,2026,7,6,6,25,9,1
45716980@N00,2026,12,6,6,26,9,1
45716980@N00,2026,5,6,6,27,9,1
67299437@N06,2782,13,6,6,28,4,1
67299437@N06,2782,12,6,6,29,4,1
67299437@N06,2782,3,6,6,30,4,1
67299437@N06,2782,5,6,6,31,4,1
12197785@N03,253,13,6,6,32,3,1
12197785@N03,253,1,6,6,33,3,1
12197785@N03,253,5,6,6,34,3,1
29225947@N00,1179,13,6,6,35,5,1
29225947@N00,1179,4,6,6,36,5,1
29225947@N00,1179,6,6,6,37,5,1
29225947@N00,1179,10,6,6,38,5,1
29225947@N00,1179,5,6,6,39,5,1
49502978053@N01,2196,13,6,6,40,8,1
49502978053@N01,2196,1,6,6,41,8,1
49502978053@N01,2196,8,6,6,42,8,1
49502978053@N01,2196,2,6,6,43,8,1
49502978053@N01,2196,6,6,6,44,8,1
49502978053@N01,2196,10,6,6,45,8,1
49502978053@N01,2196,4,6,6,46,8,1
49502978053@N01,2196,5,6,6,47,8,1
76730958@N07,3031,13,6,6,48,4,1
76730958@N07,3031,4,6,6,49,4,1
76730958@N07,3031,1,6,6,50,4,1
76730958@N07,3031,5,6,6,51,4,1
77395664@N00,3041,13,6,6,52,7,1
77395664@N00,3041,4,6,6,53,7,1
77395664@N00,3041,6,6,6,54,7,1
77395664@N00,3041,2,6,6,55,7,1
77395664@N00,3041,1,6,6,56,7,1
77395664@N00,3041,8,6,6,57,7,1
77395664@N00,3041,5,6,6,58,7,1
